LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. WE HAVE NEUTRALIZED THE WMD SITE. I REPEAT WMD SITE NEUTRALIZED. OVER.",alpha
STRM_Rarrived,"ALPHA TO PAPA BEAR. WE JUST ARRIVED TO THE BRIDGE. OVER.",alpha

STRM_Rlzinsight,"BRAVO TO ALPHA. GET READY FOR FAST ROPING. LOWER YOUR GOGGLES. OVER.",bravo
STRM_Rramp,"RAMP OPEN.",bravo
STRM_Rgogogo,"GO GO GO!",bravo
STRM_Rhome,"BRAVO TO ALPHA. GOOD LUCK BOYS, GIVE 'EM HELL. WE ARE HEADING HOME. OVER.",bravo

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. GREAT NEWS. PAPA BEAR OUT.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. ROGER THAT. JOB WELL DONE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"PMC Ranger WMD",missionname
STRL_Rload,"on board the MH-47E Chinook...",loadname
